## Gene leads ideogram data - Single Cell Portal
## accession=SCP138;organism=homo-sapiens;bucket=fc-65379b91-5ded-4d28-8e51-ada209542117;clustering=All_Cells_UMAP;annotation=General_Celltype
## differential_expression keys: group;log2fc;adjusted_pval;scores_rank
# name	chromosome	start	length	color	full_name	differential_expression	publication_mentions	interest_rank
XDH	2	31334321	80421	#999999	xanthine dehydrogenase	LC2!4.77!0!0	2	6467
CLDN4	7	73799542	33151	#f781bf	claudin 4	LC1!4.691!0!0	2	7188
MALAT1	11	65497688	8828	#66c2a5	metastasis associated lung adenocarcinoma transcript 1	neutrophils!7.031!0!0;LC1!4.424!0!4;T cells!5.033!0!5;eosinophils!5.649!6.737e-11!12;fibroblasts!6.223!5.821e-77!30;CSN1S1 macrophages!2.926!5.048e-234!61;dendritic cells!3.636!1.252e-132!66;GPMNB macrophages!3.561!0!182	1	4706
ETS1	11	128458761	128797	#fc8d62	ETS proto-oncogene 1%2C transcription factor	T cells!8.649!0!0	1	4905
HLA-C	6	31268749	3381	#984ea3	major histocompatibility complex%2C class I%2C C	eosinophils!3.497!2.155e-12!0;T cells!2.514!0!10;neutrophils!3.375!0!13;CSN1S1 macrophages!1.854!6.59e-261!45;GPMNB macrophages!2.658!0!59;dendritic cells!1.833!5.022e-106!111	0	521
HLA-DPB1	6	33075990	13706	#4daf4a	major histocompatibility complex%2C class II%2C DP beta 1	dendritic cells!5.11!2.333e-257!0;CSN1S1 macrophages!2.082!6.639e-209!84;GPMNB macrophages!2.927!0!123	0	4949
CTSB	8	11842524	27009	#a65628	cathepsin B	GPMNB macrophages!5.109!0!0;CSN1S1 macrophages!3.935!0!1;dendritic cells!1.864!1.101e-73!236	0	6267
FTL	19	48965309	1570	#377eb8	ferritin light chain	CSN1S1 macrophages!3.854!0!0;GPMNB macrophages!4.964!0!5;neutrophils!2.141!3.437e-208!77;eosinophils!1.868!7.621e-06!117	0	6306
HSPB1	7	76302673	1622	#ff7f00	heat shock protein family B (small) member 1	fibroblasts!6.95!2.249e-88!0;LC1!1.995!0!133	0	6331
JUN	1	58776845	7203	#f781bf	Jun proto-oncogene%2C AP-1 transcription factor subunit	LC1!4.893!0!1;fibroblasts!3.164!4.781e-46!189;CSN1S1 macrophages!1.742!1.805e-116!219;GPMNB macrophages!2.773!0!274	2	544
CSN1S1	4	69931068	15506	#999999	casein alpha s1	LC2!4.966!0!1	2	35529
