## Gene leads ideogram data - Single Cell Portal
## accession=SCP138;organism=homo-sapiens;bucket=fc-65379b91-5ded-4d28-8e51-ada209542117;clustering=All_Cells_UMAP;annotation=General_Celltype
## differential_expression keys: group;log2fc;adjusted_pval;scores_rank
# name	chromosome	start	length	color	full_name	differential_expression	publication_mentions	interest_rank
EGFR	7	55019017	192611	#f781bf	epidermal growth factor receptor	LC1!2.487!5.586e-252!365	1	4
ERBB2	17	39687914	42512	#4d72aa	erb-b2 receptor tyrosine kinase 2		1	27
APP	21	25880550	290578	#999999	amyloid beta precursor protein	LC2!0.9691!0!399	1	30
ESR1	6	151656691	472928	#4d72aa	estrogen receptor 1		3	70
JAK2	9	4984390	145558	#984ea3	Janus kinase 2	eosinophils!3.443!0.0008581!200	1	73
INSR	19	7112255	182159	#f781bf	insulin receptor	LC1!1.76!0!239	3	96
S100A9	1	153357854	3169	#66c2a5	S100 calcium binding protein A9	neutrophils!3.308!5.539e-231!70	1	129
SOX9	17	72121020	5396	#f781bf	SRY-box transcription factor 9	LC1!1.325!3.354e-251!369;LC2!1.055!0!473	1	134
TREM2	6	41158506	4680	#377eb8	triggering receptor expressed on myeloid cells 2	CSN1S1 macrophages!3.457!5.948e-155!155;GPMNB macrophages!6.201!0!226	1	146
EGF	4	109912883	100883	#4d72aa	epidermal growth factor		1	161
TOP2A	17	40388525	29371	#4d72aa	DNA topoisomerase II alpha		1	190
SERPINH1	11	75562056	10727	#ff7f00	serpin family H member 1	fibroblasts!8.078!1.232e-87!6	1	240
HLA-B	6	31353872	3316	#66c2a5	major histocompatibility complex%2C class I%2C B	neutrophils!4.086!0!5;T cells!3.023!0!9;eosinophils!3.61!5.719e-11!12;CSN1S1 macrophages!2.577!0!14;GPMNB macrophages!3.521!0!19;dendritic cells!2.623!5.659e-146!50	1	271
KRT18	12	52948871	4035	#f781bf	keratin 18	LC1!1.358!0!192;LC2!1.198!0!329	2	278
SCD	10	100347233	17593	#4d72aa	stearoyl-CoA desaturase		1	314
VIM	10	17228241	9352	#377eb8	vimentin	CSN1S1 macrophages!4.985!0!3;GPMNB macrophages!7.071!0!4;dendritic cells!4.973!3.966e-172!20;fibroblasts!4.836!1.735e-54!119;T cells!2.132!4.485e-101!214	1	335
ANXA1	9	73151865	18528	#377eb8	annexin A1	CSN1S1 macrophages!2.206!1.192e-171!130;eosinophils!3.032!0.0001193!150;GPMNB macrophages!3.151!0!179	1	433
JUN	1	58776845	7203	#f781bf	Jun proto-oncogene%2C AP-1 transcription factor subunit	LC1!4.893!0!2;fibroblasts!3.164!4.781e-46!190;CSN1S1 macrophages!1.742!1.805e-116!220;GPMNB macrophages!2.773!0!275	2	544
GPNMB	7	23235967	39141	#377eb8	glycoprotein nmb	CSN1S1 macrophages!4.236!0!11;GPMNB macrophages!5.858!0!16	1	808
ATF3	1	212565334	55443	#f781bf	activating transcription factor 3	LC1!4.877!0!4	1	1133
ITGA6	2	172427354	79105	#f781bf	integrin subunit alpha 6	LC1!1.211!0!225;LC2!1.246!0!280	1	1478
KRT8	12	52897187	52767	#4d72aa	keratin 8		1	1505
KRT19	17	41523617	4691	#999999	keratin 19	LC2!1.61!0!226;LC1!1.33!7.821e-304!281	1	1506
STMN1	1	25884181	22810	#ff7f00	stathmin 1	fibroblasts!3.82!6.681e-47!182	1	1512
CCDC50	3	191329085	69574	#f781bf	coiled-coil domain containing 50	LC1!1.579!4.058e-211!478	1	4511
MALAT1	11	65497688	8828	#66c2a5	metastasis associated lung adenocarcinoma transcript 1	neutrophils!7.031!0!1;LC1!4.424!0!5;T cells!5.033!0!6;eosinophils!5.649!6.737e-11!13;fibroblasts!6.223!5.821e-77!31;CSN1S1 macrophages!2.926!5.048e-234!62;dendritic cells!3.636!1.252e-132!67;GPMNB macrophages!3.561!0!183	1	4706
ACACA	17	37084992	321844	#4d72aa	acetyl-CoA carboxylase alpha		2	4805
ACACB	12	109116595	151631	#999999	acetyl-CoA carboxylase beta	LC2!2.729!0!94	1	4806
CD74	5	150400041	12888	#4daf4a	CD74 molecule	dendritic cells!4.846!1.031e-254!2;CSN1S1 macrophages!2.494!9.391e-288!29;GPMNB macrophages!3.546!0!43;eosinophils!1.252!0.07599!400	1	4851
CTSL	9	87724051	7418	#377eb8	cathepsin L	CSN1S1 macrophages!4.634!0!8;GPMNB macrophages!7.039!0!12	1	4883
ETS1	11	128458761	128797	#fc8d62	ETS proto-oncogene 1%2C transcription factor	T cells!8.649!0!1	1	4905
SORL1	11	121452314	181449	#984ea3	sortilin related receptor 1	eosinophils!4.843!6.516e-12!6;neutrophils!2.435!4.344e-77!248	1	5065
STAT5A	17	42287547	24396	#999999	signal transducer and activator of transcription 5A	LC2!1.327!0!196	3	5071
TCF4	18	55222185	442602	#4daf4a	transcription factor 4	dendritic cells!4.817!6.251e-72!252;fibroblasts!4.864!4.875e-40!287	1	5075
FASN	17	82078338	19956	#999999	fatty acid synthase	LC2!4.108!0!12	1	5459
FBP1	9	94603133	37116	#4d72aa	fructose-bisphosphatase 1		1	5461
NR4A3	9	99821855	45036	#4daf4a	nuclear receptor subfamily 4 group A member 3	dendritic cells!7.03!3.452e-197!11	1	5714
IFITM3	11	319676	7861	#377eb8	interferon induced transmembrane protein 3	CSN1S1 macrophages!1.839!7.678e-96!283;neutrophils!1.774!1.781e-24!477;GPMNB macrophages!2.409!0!495	1	5793
FTH1	11	61959718	7916	#999999	ferritin heavy chain 1	LC2!1.261!0!48;neutrophils!0.595!6.059e-47!338	1	6305
EPCAM	2	47345158	42443	#999999	epithelial cell adhesion molecule	LC2!1.67!0!183;LC1!0.9711!1.072e-222!448	1	6360
