## Gene leads ideogram data - Single Cell Portal
## accession=SCP138;organism=homo-sapiens;bucket=fc-65379b91-5ded-4d28-8e51-ada209542117;clustering=All_Cells_UMAP;annotation=General_Celltype
## differential_expression keys: group;log2fc;adjusted_pval;scores_rank
# name	chromosome	start	length	full_name	differential_expression	publication_mentions	interest_rank
PRLR	5	35048756	181731	prolactin receptor	LC2!2.136!0!123	5	7837
CD68	17	7579491	2620	CD68 molecule	GPMNB macrophages!6.512!0!2;CSN1S1 macrophages!4.36!0!6;dendritic cells!2!1.234e-53!374	3	7125
STAT5A	17	42287547	24396	signal transducer and activator of transcription 5A	LC2!1.327!0!195	3	5071
INSR	19	7112255	182159	insulin receptor	LC1!1.76!0!238	3	96
XDH	2	31334321	80421	xanthine dehydrogenase	LC2!4.77!0!0	2	6467
CLDN4	7	73799542	33151	claudin 4	LC1!4.691!0!0	2	7188
JUN	1	58776845	7203	Jun proto-oncogene%2C AP-1 transcription factor subunit	LC1!4.893!0!1;fibroblasts!3.164!4.781e-46!189;CSN1S1 macrophages!1.742!1.805e-116!219;GPMNB macrophages!2.773!0!274	2	544
CSN1S1	4	69931068	15506	casein alpha s1	LC2!4.966!0!1	2	35529
KLF6	10	3775996	9285	Kruppel like factor 6	LC1!4.608!0!2;dendritic cells!3.042!3.043e-120!87;T cells!2.666!5.001e-172!96;CSN1S1 macrophages!2.104!7.591e-164!138;GPMNB macrophages!3.02!0!200;neutrophils!1.588!4.567e-48!332	2	7183
LALBA	12	48567684	2382	lactalbumin alpha	LC2!5.078!0!2	2	17573
CSN2	4	69955256	5751	casein beta	LC2!5.181!0!5	2	35530
CHRDL2	11	74696429	34997	chordin like 2	LC2!4.091!0!17	2	8854
KRT18	12	52948871	4035	keratin 18	LC1!1.358!0!191;LC2!1.198!0!328	2	278
KRT15	17	41513745	8784	keratin 15	LC2!1.942!0!409	2	24962
MALAT1	11	65497688	8828	metastasis associated lung adenocarcinoma transcript 1	neutrophils!7.031!0!0;LC1!4.424!0!4;T cells!5.033!0!5;eosinophils!5.649!6.737e-11!12;fibroblasts!6.223!5.821e-77!30;CSN1S1 macrophages!2.926!5.048e-234!61;dendritic cells!3.636!1.252e-132!66;GPMNB macrophages!3.561!0!182	1	4706
ETS1	11	128458761	128797	ETS proto-oncogene 1%2C transcription factor	T cells!8.649!0!0	1	4905
CD74	5	150400041	12888	CD74 molecule	dendritic cells!4.846!1.031e-254!1;CSN1S1 macrophages!2.494!9.391e-288!28;GPMNB macrophages!3.546!0!42;eosinophils!1.252!0.07599!399	1	4851
VIM	10	17228241	9352	vimentin	CSN1S1 macrophages!4.985!0!2;GPMNB macrophages!7.071!0!3;dendritic cells!4.973!3.966e-172!19;fibroblasts!4.836!1.735e-54!118;T cells!2.132!4.485e-101!213	1	335
ATF3	1	212565334	55443	activating transcription factor 3	LC1!4.877!0!3	1	1133
CORO1A	16	30182827	6249	coronin 1A	eosinophils!6.598!2.155e-12!3;T cells!4.775!1.237e-202!68;CSN1S1 macrophages!2.446!9.072e-73!381;neutrophils!2.947!1.895e-33!417	1	8690
CSN3	4	70242588	8840	casein kappa	LC2!4.661!0!3	1	35536
HLA-B	6	31353872	3316	major histocompatibility complex%2C class I%2C B	neutrophils!4.086!0!4;T cells!3.023!0!8;eosinophils!3.61!5.719e-11!11;CSN1S1 macrophages!2.577!0!13;GPMNB macrophages!3.521!0!18;dendritic cells!2.623!5.659e-146!49	1	271
SERPINH1	11	75562056	10727	serpin family H member 1	fibroblasts!8.078!1.232e-87!5	1	240
SORL1	11	121452314	181449	sortilin related receptor 1	eosinophils!4.843!6.516e-12!5;neutrophils!2.435!4.344e-77!247	1	5065
CTSL	9	87724051	7418	cathepsin L	CSN1S1 macrophages!4.634!0!7;GPMNB macrophages!7.039!0!11	1	4883
GPNMB	7	23235967	39141	glycoprotein nmb	CSN1S1 macrophages!4.236!0!10;GPMNB macrophages!5.858!0!15	1	808
NR4A3	9	99821855	45036	nuclear receptor subfamily 4 group A member 3	dendritic cells!7.03!3.452e-197!10	1	5714
FASN	17	82078338	19956	fatty acid synthase	LC2!4.108!0!11	1	5459
REL	2	60881521	50091	REL proto-oncogene%2C NF-kB subunit	dendritic cells!4.719!2.232e-194!11	1	6837
CSF3R	1	36466043	17235	colony stimulating factor 3 receptor	neutrophils!7.771!0!12;CSN1S1 macrophages!1.972!7.52e-63!435	1	7210
