attribute	required	default	type	array	class	ontology	ontology_root	controlled_list_entries	dependency	dependency_condition	dependent	attribute_description		20190822 index
species	Yes		string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/ncbitaxon	NCBITaxon_2759					The scientific binomial name for the species of the organism.		2
species__ontology_label	Yes		string		ontology_label				species			species__ontology_label		3
ethnicity			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/hancestro	HANCESTRO:0004			species == NCBITaxon_9606		The ethnicity or ethnicities of the human donor if known		4
ethnicity__ontology_label			string	TRUE	ontology_label				ethnicity			ethnicity__ontology_label		5
race			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/ncit	NCIT:C17049			species == NCBITaxon_9606		An arbitrary classification of a taxonomic group that is a division of a species		6
race__ontology_label			string	TRUE	ontology_label				race			race__ontology_label		7
mouse_strain			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/ncit	"NCIT_C14420 "			species == NCBITaxon_10090		Mouse strain of the donor organism (ex. C57BL/6, BALB/c, 129, undetermined)		8
mouse_strain__ontology_label			string		ontology_label				mouse_strain			mouse_strain__ontology_label		9
vaccination			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/ontologies/vo	VO_0000001					Any known vaccines administered to the donor organism. NOT a full vaccine history		10
vaccination__ontology_label			string	TRUE	ontology_label				vaccination			vaccination__ontology_label		11
vaccination__route			string	TRUE	enum			"[""intradermal"", ""intranasal"", ""intravenous"", ""aerosol"", ""intramuscular"", ""mucosal"", ""oral""]"	vaccination			Intradermal, Intranasal, Intravenous, Aerosol		12
vaccination__dosage			string	TRUE					vaccination			The dosage and units for the vaccine		13
vaccination__adjuvants			string	TRUE					vaccination			Any adjuvants administered in the vaccine		14
vaccination__time_since			number	TRUE					vaccination		vaccination__time_since__unit	Amount of time since vaccine was administered		15
vaccination__time_since__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		vaccination__time_since			Time since each vaccine in the vaccination field was administered		16
vaccination__time_since__unit_label			string		unit_label				vaccination__time_since__unit			vaccination__time_since__unit_label		17
sex	Yes	unknown	string		enum			"[""male"", ""female"", ""mixed"", ""unknown""]"				Biological sex		18
is_living	Yes		string		enum			"[""yes"", ""no"", ""unknown""]"				Whether organism was alive at time of biomaterial collection		19
geographical_region			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/gaz	GAZ_00000013					Location where the sample was collected/donated		20
geographical_region__ontology_label			string		ontology_label				geographical_region			geographical_region__ontology_label		21
mhc_genotype			string									MHC genotype for humans and other species		22
organism_age			number								organism_age__unit	Age of the organism at time of sample collection.		23
organism_age__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		organism_age			organism_age__unit		24
organism_age__unit_label			string		unit_label				organism_age__unit			organism_age__unit_label		25
bmi			number									BMI of organism		26
biosample_id	Yes		string											27
organ	Yes		string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uberon	UBERON_0000465					The organ that the biomaterial came from		28
organ__ontology_label	Yes		string		ontology_label				organ			organ__ontology_label		29
sample_type	Yes		string		enum			"[""cell line"", ""organoid"", ""direct from donor - fresh"", ""direct from donor - frozen"", ""cultured primary cells""]"				one of: cell line, organoid, direct from donor (fresh), direct from donor (frozen), cultured primary cells		30
culture_duration			number							sample_type in cell line, organoid, cultured primary cells	culture_duration__unit	length of time cells have been in culture		31
culture_duration__unit			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/uo	UO_0000003		culture_duration			culture_duration__unit		32
culture_duration__unit_label			string		unit_label				culture_duration__unit			culture_duration__unit_label		33
