	genes	qval	log2fc	mean
0	gene0	0.8240791007022433	0.1412766868519916	1.022
1	gene1	0.8240791007022433	-0.1412766868519916	1.022
2	gene2	0.9054623153577034	0.0373131584680556	0.928
3	gene3	0.8240791007022433	-0.1358834280817731	1.02
4	gene4	0.8832208991253149	-0.048094288201045	0.96
5	gene5	0.8240791007022433	0.0776793638218755	0.966
6	gene6	0.8240791007022433	0.0838315908034706	0.964
7	gene7	0.6997693367216542	0.1901838404261124	0.942
8	gene8	0.9876813316167332	-0.006049044672805	0.954
9	gene9	0.9876813316167332	0.0062589904716823	0.922
10	gene10	0.8240791007022433	0.1047577412131296	0.992
11	gene11	0.9054623153577034	-0.0421694542439396	0.958
12	gene12	0.8240791007022433	-0.0746388008927557	0.928
13	gene13	0.9720695566709636	-0.0165511762638478	1.046
14	gene14	0.8240791007022433	0.094327382548153	0.918
15	gene15	0.6280177300156384	0.2115041051937118	0.984
16	gene16	0.8240791007022433	0.0736855481330175	0.94
17	gene17	0.8240791007022433	0.0720112449153881	1.042
18	gene18	0.8240791007022433	-0.1200764519917506	1.106
19	gene19	0.8240791007022433	0.1513645915355842	0.954
20	gene20	0.8742911307339408	-0.0628600238385765	1.01
21	gene21	0.8240791007022433	-0.100693999619473	1.032
22	gene22	0.2754615735845518	-0.3060136055239887	1.06
23	gene23	0.8832208991253149	-0.0512253233551732	1.014
24	gene24	0.2754615735845518	0.314381285834014	1.032
25	gene25	0.8832208991253149	-0.0553767570363732	0.938
26	gene26	0.6280177300156384	-0.213481367429052	1.002
27	gene27	0.8240791007022433	0.0751874963942191	0.998
28	gene28	1.0	0.0	0.984
29	gene29	0.6280177300156384	0.2018817682139736	1.088
30	gene30	0.9720695566709636	0.0164255479131112	1.054
31	gene31	0.8240791007022433	0.074293782347314	1.01
32	gene32	0.9424698701212948	-0.0270682431981707	1.066
33	gene33	0.6599467853605331	-0.187932950593075	0.984
34	gene34	0.6280177300156384	-0.2405397680467075	1.034
35	gene35	0.6280177300156384	0.2431509815032454	0.904
36	gene36	0.8240791007022433	0.1133165235296294	1.07
37	gene37	0.8240791007022433	0.1049695596015422	1.1
38	gene38	0.8240791007022433	0.0991331920192515	0.99
39	gene39	0.8240791007022433	-0.1219905243786104	0.994
