	genes	qval	log2fc	mean
0	gene0	0.890949530893614	0.0421694542439396	0.958
1	gene1	0.8021042959291761	0.1895722438927728	1.006
2	gene2	0.8021042959291761	-0.1831640249315105	0.978
3	gene3	0.890949530893614	0.0834160081876375	1.038
4	gene4	0.8021042959291761	-0.1299585941246678	1.022
5	gene5	0.890949530893614	-0.0482955570407812	0.956
6	gene6	0.9626302117450412	-0.006152226981595	0.938
7	gene7	0.8021042959291761	-0.1552782254779109	0.93
8	gene8	0.8021042959291761	-0.2024210004312735	1.028
9	gene9	0.890949530893614	-0.0432531979538837	0.934
10	gene10	0.9447620054163652	0.0243498614157488	0.948
11	gene11	0.890949530893614	-0.063872183166385	0.994
12	gene12	0.890949530893614	0.0619277491432017	0.932
13	gene13	0.890949530893614	0.0616390657923859	1.03
14	gene14	0.0625763786734972	-0.4003409880721418	1.03
15	gene15	0.8545743712424709	-0.1154772174199359	0.95
16	gene16	0.953151004672114	-0.0187772070306282	0.922
17	gene17	0.9320564242879528	0.0286827547040849	1.006
18	gene18	0.8545743712424709	0.098462638885688	1.114
19	gene19	0.8021042959291761	-0.1513645915355842	0.954
20	gene20	0.890949530893614	-0.0815298854965984	1.062
21	gene21	0.8545743712424709	0.0949116470254669	1.034
22	gene22	0.8021042959291761	0.2522423490830079	1.0779999999999998
23	gene23	0.8021042959291761	-0.123199064797672	1.078
24	gene24	0.953151004672114	-0.0124909441831969	0.924
25	gene25	0.8545743712424709	-0.1103604474425056	0.994
26	gene26	0.8021042959291761	0.1466498589508433	1.024
27	gene27	0.8021042959291761	-0.1732195793547459	1.034
28	gene28	0.890949530893614	-0.0687127500840143	1.008
29	gene29	0.890949530893614	-0.0393742383341444	1.026
30	gene30	0.890949530893614	0.0390695646785923	1.034
31	gene31	0.953151004672114	-0.0116818050476353	0.988
32	gene32	0.8021042959291761	0.1348244235540537	1.028
33	gene33	0.890949530893614	0.0618794475866783	1.026
34	gene34	0.8021042959291761	0.1405983301728007	1.068
35	gene35	0.8021042959291761	-0.189156091862516	0.8859999999999999
36	gene36	0.8021042959291761	0.2242648356692185	0.954
37	gene37	0.890949530893614	-0.0481835335099652	1.078
38	gene38	0.8021042959291761	-0.1325561935567018	1.002
39	gene39	0.890949530893614	-0.0546540748700703	1.056
