	genes	qval	log2fc	mean
0	gene0	0.78493449431769	0.183446141095931	1.008
1	gene1	0.903967302124323	0.0482955570407812	0.956
2	gene2	0.867063106338247	-0.145850866463455	0.99
3	gene3	0.903967302124323	-0.0524674198941356	0.99
4	gene4	0.78493449431769	-0.178052882325713	1.006
5	gene5	0.917784603617422	0.0293838067810943	0.982
6	gene6	0.903967302124323	0.0776793638218756	0.966
7	gene7	0.903967302124323	0.0349056149482015	0.992
8	gene8	0.78493449431769	-0.208470045104079	1.026
9	gene9	0.903967302124323	-0.0369942074822014	0.936
10	gene10	0.903967302124323	0.129107602628879	0.984
11	gene11	0.903967302124323	-0.106041637410325	0.98
12	gene12	0.971582039975668	-0.012711051749554	0.908
13	gene13	0.903967302124323	0.0450878895285381	1.024
14	gene14	0.238979893223196	-0.306013605523989	1.06
15	gene15	0.903967302124323	0.0960268877737759	1.022
16	gene16	0.903967302124323	0.0549083411023894	0.946
17	gene17	0.903967302124323	0.100693999619473	1.032
18	gene18	0.932817236616462	-0.0216138131060626	1.068
19	gene19	1.0	0.0	1.004
20	gene20	0.867063106338247	-0.144389909335175	1.04
21	gene21	0.986968426016535	-0.0057823525940061	0.998
22	gene22	0.903967302124323	-0.0537712564409808	0.966
23	gene23	0.78493449431769	-0.174424388152845	1.06
24	gene24	0.238979893223196	0.301890341650817	1.036
25	gene25	0.78493449431769	-0.165737204478879	0.976
26	gene26	0.903967302124323	-0.0668315084782087	0.95
27	gene27	0.903967302124323	-0.0980320829605268	1.06
28	gene28	0.903967302124323	-0.0687127500840143	1.008
29	gene29	0.78493449431769	0.162507529879829	1.102
30	gene30	0.903967302124323	0.0554951125917036	1.04
31	gene31	0.903967302124323	0.0626119772996787	1.014
32	gene32	0.903967302124323	0.107756180355883	1.018
33	gene33	0.903967302124323	-0.126053503006397	0.962
34	gene34	0.903967302124323	-0.0999414378739068	0.982
35	gene35	0.903967302124323	0.0539948896407294	0.962
36	gene36	0.238979893223196	0.337581359198848	0.996
37	gene37	0.903967302124323	0.0567860260915771	1.118
38	gene38	0.903967302124323	-0.0334230015374503	1.036
39	gene39	0.78493449431769	-0.176644599248681	1.014
