	genes	qval	log2fc	mean
0	gene0	0.7337496459555765	0.1229814998320369	0.986
1	gene1	0.7337496459555765	0.1402913411215542	0.988
2	gene2	0.777037884274307	-0.1094784767984929	1.002
3	gene3	0.7337496459555765	-0.1571009610847287	0.956
4	gene4	0.865073424870843	0.0737303885333722	1.096
5	gene5	0.908293310708369	0.0293838067810943	0.982
6	gene6	0.46987440570528	0.2162401943548529	1.016
7	gene7	0.8757060065959519	0.0689866101913076	1.004
8	gene8	0.46987440570528	-0.2267708618470224	1.02
9	gene9	0.825165996171115	0.0828003050525129	0.976
10	gene10	0.46987440570528	0.2215151363955272	1.018
11	gene11	0.7172074231683455	-0.1749034955551287	0.958
12	gene12	0.777037884274307	0.1096244911744981	0.948
13	gene13	0.908293310708369	-0.0289126919152388	0.998
14	gene14	0.46987440570528	-0.1891323052283696	1.1
15	gene15	0.908293310708369	-0.0475004236039291	0.972
16	gene16	0.7337496459555765	0.1307036916445937	0.972
17	gene17	0.908293310708369	-0.0411386947934864	0.982
18	gene18	0.46987440570528	-0.2072762179023439	1.004
19	gene19	0.963875149882685	-0.0057592692886849	1.002
20	gene20	0.7337496459555765	-0.115477217419936	1.05
21	gene21	0.908293310708369	-0.0469210473874925	0.984
22	gene22	0.908293310708369	-0.0416476973584913	0.97
23	gene23	0.46987440570528	-0.2702401755666459	1.028
24	gene24	0.46987440570528	0.2661403167016155	1.022
25	gene25	0.7337496459555765	0.1283240969755392	1.08
26	gene26	0.908293310708369	0.0293838067810943	0.982
27	gene27	0.46987440570528	-0.277853120545339	1.0
28	gene28	0.8757060065959519	0.0655883416275768	1.056
29	gene29	0.963875149882685	0.0110551885089957	1.044
30	gene30	0.7337496459555765	0.1193887291903304	1.064
31	gene31	0.927060999001656	0.0230836131130412	1.0
32	gene32	0.825165996171115	0.085729874025884	1.01
33	gene33	0.7337496459555765	0.1473975187727355	1.058
34	gene34	0.963875149882685	0.005668750086692	1.018
35	gene35	0.8063035386994235	0.0946368741380753	0.976
36	gene36	0.46987440570528	0.1959202099752568	0.944
37	gene37	0.908293310708369	0.051715036544155	1.116
38	gene38	0.46987440570528	-0.2455204421460187	0.966
39	gene39	0.825165996171115	-0.0884687878623141	1.044
