	genes	qval	log2fc	mean
0	gene0	0.890949530893614	0.0421694542439397	0.958
1	gene1	0.802104295929176	0.189572243892773	1.006
2	gene2	0.802104295929176	-0.183164024931511	0.978
3	gene3	0.890949530893614	0.0834160081876375	1.038
4	gene4	0.802104295929176	-0.129958594124668	1.022
5	gene5	0.890949530893614	-0.0482955570407812	0.956
6	gene6	0.962630211745041	-0.006152226981595	0.938
7	gene7	0.802104295929176	-0.155278225477911	0.93
8	gene8	0.802104295929176	-0.202421000431274	1.028
9	gene9	0.890949530893614	-0.0432531979538838	0.934
10	gene10	0.944762005416365	0.0243498614157489	0.948
11	gene11	0.890949530893614	-0.063872183166385	0.994
12	gene12	0.890949530893614	0.0619277491432017	0.932
13	gene13	0.890949530893614	0.0616390657923859	1.03
14	gene14	0.0625763786734973	-0.400340988072142	1.03
15	gene15	0.854574371242471	-0.115477217419936	0.95
16	gene16	0.953151004672114	-0.0187772070306282	0.922
17	gene17	0.932056424287953	0.0286827547040849	1.006
18	gene18	0.854574371242471	0.098462638885688	1.114
19	gene19	0.802104295929176	-0.151364591535584	0.954
20	gene20	0.890949530893614	-0.0815298854965984	1.062
21	gene21	0.854574371242471	0.094911647025467	1.034
22	gene22	0.802104295929176	0.252242349083008	1.078
23	gene23	0.802104295929176	-0.123199064797672	1.078
24	gene24	0.953151004672114	-0.0124909441831969	0.924
25	gene25	0.854574371242471	-0.110360447442506	0.994
26	gene26	0.802104295929176	0.146649858950843	1.024
27	gene27	0.802104295929176	-0.173219579354746	1.034
28	gene28	0.890949530893614	-0.0687127500840143	1.008
29	gene29	0.890949530893614	-0.0393742383341444	1.026
30	gene30	0.890949530893614	0.0390695646785924	1.034
31	gene31	0.953151004672114	-0.0116818050476353	0.988
32	gene32	0.802104295929176	0.134824423554054	1.028
33	gene33	0.890949530893614	0.0618794475866783	1.026
34	gene34	0.802104295929176	0.140598330172801	1.068
35	gene35	0.802104295929176	-0.189156091862516	0.886
36	gene36	0.802104295929176	0.224264835669219	0.954
37	gene37	0.890949530893614	-0.0481835335099652	1.078
38	gene38	0.802104295929176	-0.132556193556702	1.002
39	gene39	0.890949530893614	-0.0546540748700703	1.056
