	genes	qval	log2fc	mean
0	gene0	0.937538984071819	0.0604646412638944	1.05
1	gene1	0.899915095782578	-0.0919957840807731	1.004
2	gene2	0.960642564924437	-0.0363723896649619	0.952
3	gene3	0.899915095782578	0.104633541190593	0.938
4	gene4	0.59173208933283	-0.251783270859085	1.034
5	gene5	1.0	0.0	0.992
6	gene6	0.899915095782578	-0.138560830532977	1.042
7	gene7	0.960642564924437	-0.0340809952431062	1.016
8	gene8	0.982095188708412	0.0183008167429438	0.946
9	gene9	0.899915095782578	-0.119794512534714	0.964
10	gene10	0.899915095782578	-0.0924075337666487	1.062
11	gene11	0.937538984071819	0.0688618581448041	0.922
12	gene12	0.899915095782578	-0.122335542924052	0.944
13	gene13	0.935791365964902	0.0740005814437769	1.014
14	gene14	0.899915095782578	-0.116881300295619	0.988
15	gene15	0.899915095782578	0.143527311377705	1.006
16	gene16	0.935791365964902	-0.0757953505422043	0.99
17	gene17	0.899915095782578	0.14183269441296	1.018
18	gene18	0.899915095782578	0.185662404796281	0.996
19	gene19	0.992354684761259	0.0057592692886849	1.002
20	gene20	0.964838810683633	-0.0289126919152388	0.998
21	gene21	0.960642564924437	0.0411386947934865	0.982
22	gene22	0.992354684761259	-0.0121235590824895	0.952
23	gene23	0.899915095782578	0.0958157874138006	0.964
24	gene24	0.960642564924437	0.0357500249492016	1.13
25	gene25	0.543214416050193	-0.294061301454418	1.024
26	gene26	0.899915095782578	-0.096215315259303	0.96
27	gene27	0.899915095782578	0.179821037584812	0.964
28	gene28	0.899915095782578	-0.134301091711591	1.032
29	gene29	0.899915095782578	0.151452341370833	1.106
30	gene30	0.937538984071819	-0.0638936165986269	1.084
31	gene31	0.960642564924437	0.0395283641866374	1.022
32	gene32	0.982095188708412	0.0220263063299989	1.048
33	gene33	0.543214416050193	-0.273451021779132	1.016
34	gene34	0.899915095782578	-0.105610187960599	0.984
35	gene35	0.960642564924437	-0.0406419844973459	0.994
36	gene36	0.899915095782578	0.141661149223591	1.06
37	gene37	0.992354684761259	0.0050709895474219	1.138
38	gene38	0.899915095782578	0.212097440608568	0.954
39	gene39	0.899915095782578	-0.0881758113863667	0.982
