	genes	qval	log2fc	mean
0	gene0	0.733749645955577	0.122981499832037	0.986
1	gene1	0.733749645955577	0.140291341121554	0.988
2	gene2	0.777037884274307	-0.109478476798493	1.002
3	gene3	0.733749645955577	-0.157100961084729	0.956
4	gene4	0.865073424870843	0.0737303885333722	1.096
5	gene5	0.908293310708369	0.0293838067810943	0.982
6	gene6	0.46987440570528	0.216240194354853	1.016
7	gene7	0.875706006595952	0.0689866101913076	1.004
8	gene8	0.46987440570528	-0.226770861847022	1.02
9	gene9	0.825165996171115	0.082800305052513	0.976
10	gene10	0.46987440570528	0.221515136395527	1.018
11	gene11	0.717207423168346	-0.174903495555129	0.958
12	gene12	0.777037884274307	0.109624491174498	0.948
13	gene13	0.908293310708369	-0.0289126919152388	0.998
14	gene14	0.46987440570528	-0.18913230522837	1.1
15	gene15	0.908293310708369	-0.0475004236039291	0.972
16	gene16	0.733749645955577	0.130703691644594	0.972
17	gene17	0.908293310708369	-0.0411386947934865	0.982
18	gene18	0.46987440570528	-0.207276217902344	1.004
19	gene19	0.963875149882685	-0.0057592692886849	1.002
20	gene20	0.733749645955577	-0.115477217419936	1.05
21	gene21	0.908293310708369	-0.0469210473874926	0.984
22	gene22	0.908293310708369	-0.0416476973584914	0.97
23	gene23	0.46987440570528	-0.270240175566646	1.028
24	gene24	0.46987440570528	0.266140316701616	1.022
25	gene25	0.733749645955577	0.128324096975539	1.08
26	gene26	0.908293310708369	0.0293838067810943	0.982
27	gene27	0.46987440570528	-0.277853120545339	1.0
28	gene28	0.875706006595952	0.0655883416275768	1.056
29	gene29	0.963875149882685	0.0110551885089958	1.044
30	gene30	0.733749645955577	0.11938872919033	1.064
31	gene31	0.927060999001656	0.0230836131130413	1.0
32	gene32	0.825165996171115	0.085729874025884	1.01
33	gene33	0.733749645955577	0.147397518772736	1.058
34	gene34	0.963875149882685	0.005668750086692	1.018
35	gene35	0.806303538699424	0.0946368741380753	0.976
36	gene36	0.46987440570528	0.195920209975257	0.944
37	gene37	0.908293310708369	0.0517150365441551	1.116
38	gene38	0.46987440570528	-0.245520442146019	0.966
39	gene39	0.825165996171115	-0.0884687878623141	1.044
