	genes	qval	log2fc	mean
0	gene0	0.824079100702243	0.141276686851992	1.022
1	gene1	0.824079100702243	-0.141276686851992	1.022
2	gene2	0.905462315357703	0.0373131584680556	0.928
3	gene3	0.824079100702243	-0.135883428081773	1.02
4	gene4	0.883220899125315	-0.0480942882010451	0.96
5	gene5	0.824079100702243	0.0776793638218756	0.966
6	gene6	0.824079100702243	0.0838315908034706	0.964
7	gene7	0.699769336721654	0.190183840426112	0.942
8	gene8	0.987681331616733	-0.006049044672805	0.954
9	gene9	0.987681331616733	0.0062589904716823	0.922
10	gene10	0.824079100702243	0.10475774121313	0.992
11	gene11	0.905462315357703	-0.0421694542439397	0.958
12	gene12	0.824079100702243	-0.0746388008927557	0.928
13	gene13	0.972069556670964	-0.0165511762638479	1.046
14	gene14	0.824079100702243	0.0943273825481531	0.918
15	gene15	0.628017730015638	0.211504105193712	0.984
16	gene16	0.824079100702243	0.0736855481330176	0.94
17	gene17	0.824079100702243	0.0720112449153881	1.042
18	gene18	0.824079100702243	-0.120076451991751	1.106
19	gene19	0.824079100702243	0.151364591535584	0.954
20	gene20	0.874291130733941	-0.0628600238385765	1.01
21	gene21	0.824079100702243	-0.100693999619473	1.032
22	gene22	0.275461573584552	-0.306013605523989	1.06
23	gene23	0.883220899125315	-0.0512253233551732	1.014
24	gene24	0.275461573584552	0.314381285834014	1.032
25	gene25	0.883220899125315	-0.0553767570363732	0.938
26	gene26	0.628017730015638	-0.213481367429052	1.002
27	gene27	0.824079100702243	0.0751874963942192	0.998
28	gene28	1.0	0.0	0.984
29	gene29	0.628017730015638	0.201881768213974	1.088
30	gene30	0.972069556670964	0.0164255479131113	1.054
31	gene31	0.824079100702243	0.0742937823473141	1.01
32	gene32	0.942469870121295	-0.0270682431981707	1.066
33	gene33	0.659946785360533	-0.187932950593075	0.984
34	gene34	0.628017730015638	-0.240539768046708	1.034
35	gene35	0.628017730015638	0.243150981503245	0.904
36	gene36	0.824079100702243	0.113316523529629	1.07
37	gene37	0.824079100702243	0.104969559601542	1.1
38	gene38	0.824079100702243	0.0991331920192515	0.99
39	gene39	0.824079100702243	-0.12199052437861	0.994
