	genes	qval	log2fc	mean
0	gene0	0.937538984071819	0.0604646412638943	1.05
1	gene1	0.899915095782578	-0.091995784080773	1.004
2	gene2	0.9606425649244368	-0.0363723896649619	0.952
3	gene3	0.899915095782578	0.1046335411905931	0.938
4	gene4	0.5917320893328303	-0.2517832708590851	1.034
5	gene5	1.0	0.0	0.992
6	gene6	0.899915095782578	-0.1385608305329773	1.042
7	gene7	0.9606425649244368	-0.0340809952431061	1.016
8	gene8	0.9820951887084116	0.0183008167429438	0.946
9	gene9	0.899915095782578	-0.1197945125347144	0.964
10	gene10	0.899915095782578	-0.0924075337666486	1.062
11	gene11	0.937538984071819	0.0688618581448041	0.922
12	gene12	0.899915095782578	-0.1223355429240521	0.944
13	gene13	0.9357913659649024	0.0740005814437769	1.014
14	gene14	0.899915095782578	-0.1168813002956191	0.988
15	gene15	0.899915095782578	0.143527311377705	1.006
16	gene16	0.9357913659649024	-0.0757953505422043	0.99
17	gene17	0.899915095782578	0.1418326944129595	1.018
18	gene18	0.899915095782578	0.1856624047962813	0.996
19	gene19	0.9923546847612588	0.0057592692886849	1.002
20	gene20	0.9648388106836332	-0.0289126919152388	0.998
21	gene21	0.9606425649244368	0.0411386947934864	0.982
22	gene22	0.9923546847612588	-0.0121235590824894	0.952
23	gene23	0.899915095782578	0.0958157874138006	0.964
24	gene24	0.9606425649244368	0.0357500249492015	1.13
25	gene25	0.5432144160501934	-0.2940613014544181	1.024
26	gene26	0.899915095782578	-0.096215315259303	0.96
27	gene27	0.899915095782578	0.1798210375848123	0.964
28	gene28	0.899915095782578	-0.1343010917115911	1.032
29	gene29	0.899915095782578	0.1514523413708334	1.106
30	gene30	0.937538984071819	-0.0638936165986268	1.084
31	gene31	0.9606425649244368	0.0395283641866374	1.022
32	gene32	0.9820951887084116	0.0220263063299989	1.048
33	gene33	0.5432144160501934	-0.2734510217791323	1.016
34	gene34	0.899915095782578	-0.1056101879605989	0.984
35	gene35	0.9606425649244368	-0.0406419844973459	0.994
36	gene36	0.899915095782578	0.141661149223591	1.06
37	gene37	0.9923546847612588	0.0050709895474219	1.138
38	gene38	0.899915095782578	0.2120974406085684	0.954
39	gene39	0.899915095782578	-0.0881758113863667	0.982
